str,vi_VN,en_US
field.required,Trường này là bắt buộc!,This field is required!
field.invalidEmail,Email không đúng định dạng!,Email invalidate!
field.pwLength,Mật khẩu của bạn phải dài từ {} đến {} ký tự!,Your password length must be between {} to {} characters!
field.pwSpace,Mật khẩu của bạn không thể bắt đầu hoặc kết thúc bằng khoảng trống!,Your password cannot start or end with a space!
field.character,ký tự,character
field.invalidPhone,Số điện thoại không đúng định dạng!,Invalid phone number!
field.invalidPhoneShort,SĐT không đúng định dạng!,Invalid phone!
field.phoneEmpty,Nhập số điện thoại để tiếp tục,Please enter phone number
field.invalidRePw,Xác nhận mật khẩu không trùng khớp,Confirm password does not match
field.continue,Tiếp tục,Continue
field.register,Đăng ký,Register
field.phoneNumber,Số điện thoại,Phone Number
field.fullName,Họ tên,Full name
field.inputNumber,Nhập số,Input number
field.email,Email,Email
field.oldPass,Mật khẩu cũ,Old password
field.newPass,Mật khẩu mới,New password
field.renewPass,Xác nhận mật khẩu,Confirm password
field.savePwd,Lưu mật khẩu,Save password
field.pwd,Mật khẩu,Password
field.fullNameRequired,Nhập họ tên để tiếp tục,Please enter full name
field.pwRequired,Nhập mật khẩu để tiếp tục,Please enter password
field.ok,OK,OK
field.cancel,Hủy,Cancel
field.thereIs,Có,There is
field.thereAre,Có,There are
field.delete,Xóa,Delete
field.deleted,{} đã xoá,Deleted {}
field.deleteSuccess,Xóa {} thành công!,Xóa {} successfully!
field.deleteMsg,Bạn muốn xóa {} này?,Do you want to delete this {}?
field.noPermissionDelete,không có quyền xóa.,that do not have the permission to delete.
field.doesntHaveViewPermission,Bạn không có quyền xem {} này!,You do not have the permission to view this {}!
field.doesntHaveDeletePermission,Bạn không có quyền xoá {} này!,You do not have the permission to delete this {}!
field.doesntHaveTransferPermission,Bạn không có quyền chuyển giao {} này!,You do not have the permission to transfer this {}!
field.dataWillDelete.other,Dữ liệu của {} {name} đã chọn sẽ bị xóa.,The data of {} selected {name}s will be delete.
field.dataWillDelete.one,Dữ liệu {name} đã chọn sẽ bị xóa.,The selected {name} data will be delete.
field.dataWillTransfer.other,Dữ liệu của {} mục sẽ được chuyển giao.,The data of {} selected item will be transfer.
field.dataWillTransfer.one,Dữ liệu của {} mục sẽ được chuyển giao.,The data of {} selected items will be transfer.
field.onlyDelete,Bạn chỉ có quyền xóa,You can only delete
field.transferSuccess,Chuyển giao {} thành công!,Transfer {} successfully!
field.close,Đóng,Close
field.add,Thêm,Add
field.added,{} đã thêm,Added {}
field.search,Tìm kiếm,Search
field.create,Thêm mới,Create
field.createBy,Được tạo bởi,Created By
field.pic,Phụ trách bởi,Person in charge
field.createSuccess,Thêm mới thành công!,Create successfully!
field.viewDetail,Xem chi tiết,See detail
field.available,Có,
field.linkAccount,Liên kết,Link
field.linkAccountNow,Liên kết ngay,Link now
field.linkAccountMsg,Liên kết tài khoản,Link account
field.backToExit,Chạm lần nữa để thoát!,Press back again to exit
field.anErrorOccurred,Có lỗi xảy ra. Vui lòng thử lại.,An error occurred. Please try again.
field.characters,{}/{} ký tự,{}/{} characters
field.character,ký tự,characters
field.sort,Sắp xếp,Sort
field.setAgain,Đặt lại,Set again
field.apply,Áp dụng,Apply
field.active,Đang hoạt động,Active
field.active2,Hoạt động,Active
field.deactive,Ngừng hoạt động,Deactive
field.deactive2,Tạm đóng,Deactive
field.pending,Chờ duyệt,Pending
field.all,Tất cả,All
field.private,Riêng tư,Private
field.public,Công khai,Public
field.toContinue,{} để tiếp tục!,{} to continue!
field.emptySearch,Không tìm thấy kết quả phù hợp!,No matching results found!
field.edit,Sửa,Edit
field.onNotify,Bật thông báo,Turn on notify
field.offNotify,Tắt thông báo,Turn off notify
field.setting,Cài đặt,Setting
field.description,Mô tả,Description
field.cancelRequest,Hủy yêu cầu,Cancel request
field.join,Tham gia,Join
field.fullDescription,Thông tin mô tả,Description
field.assignRole,Phân quyền,Assign Role
field.save,Lưu,Save
field.notSave,Không lưu,Doesn't save
field.saveInfo,Lưu thông tin,Save
field.accept,Đồng ý,Accept
field.reject,Từ chối,Reject
field.addedBy,Thêm bởi {},Added by {}
field.yourself,bạn,yourself
field.inputPwdToConfirm,Vui lòng nhập mật khẩu để xác nhận,Please enter password to confirmation
field.hintPwdToConfirm,Nhập mật khẩu xác nhận,Enter password to confirmation
field.confirm,Xác nhận,Confirm
field.done,Xong,Done
field.resend,Gửi lại,Resend
field.syncContacts,Đồng bộ từ danh bạ,Sync from contacts
field.requestSyncContacts,MeeyCRM cần truy cập danh bạ trên thiết bị của bạn để đồng bộ với máy chủ.,MeeyCRM need to access your contacts to synchonize with server.
field.contacts,danh bạ,contacts
field.image,ảnh,image
field.contact,Liên hệ,Contact
field.noDevicePermission,MeeyCRM chưa có quyền truy cập {} trên thiết bị của bạn. Vui lòng vào Cài đặt để thiết lập!,MeeyCRM does not have permission to access {} on your device. Please go to Settings to set up!
field.setup,Cài đặt,Set up
field.noData,Không có dữ liệu!,No data!
field.wrongPwd,Mật khẩu không chính xác!,Incorrect password!
field.version,Phiên bản {},Version {}
field.custom,Tùy chỉnh,Custom
field.complete,Hoàn thành,Complete
field.back,Quay lại,Back
field.otherMember,Thành viên khác,Other members
field.realEstate,BĐS,Real Estate
field.customer,Khách hàng,Customer
field.demand,Nhu cầu,Demand
field.organization,Tổ chức,Organization
field.viewMore,Xem thêm,View more
field.collapse,Thu gọn,Collapse
field.requireVerifyPhone,"Để sử dụng tính năng này, vui lòng liên kết và xác thực số điện thoại của bạn.",Please link and verify your phone number to access this feature.
field.gallery,thư viện ảnh,gallery
field.exit,Thoát,Exit
field.recentSearch,Tìm kiếm gần đây,Recent search
field.joined,Đã tham gia,Joined
field.send,Gửi,Send
field.sms,Nhắn tin,SMS
field.newSMS,Tin nhắn mới,New SMS
field.smsHint,Nhập nội dung tin nhắn,Enter message content
field.booking,Đặt lịch,Booking
field.call,Gọi điện,Call
field.sendMail,Gửi thư,Send mail
field.title,Tiêu đề,Title
field.inputTitle,Nhập tiêu đề,Input title
field.inputTitleToContinue,Nhập tiêu đề để tiếp tục!,Input title to continue!
field.code,Mã {},{} code
field.inputCode,Nhập mã {},Input {} code
field.select,Chọn {},Select {}
field.nameType,Tên {},{} name
field.inputType,Nhập {},Input {}
field.input,Nhập,Enter
field.day,ngày,day
field.week,tuần,week
field.month,tháng,month
field.year,năm,year
field.existed,{} đã tồn tại!,{} has been existed!
field.review,Đánh giá,Review
field.point,Điểm,Point
field.yes,Có,Yes
field.no,Không,No
